MANCODIGO,SITP_Count
008502035,44
008524017,40
008501051,45
008417049,47
008407030,43
008524018,43
008519028,38
008535014,73
008506065,71
008506034,68
008112010,80
008112011,71
008112012,65
008112013,72
008112014,71
008112015,71
008540053,35
008530002,39
008518002,44
008523009,46
008413022,53
008501039,35
008535085,68
008406002,30
008406018,39
008406044,29
008415065,59
008416003,61
008416006,59
008415033,61
008415051,58
008417046,52
008415052,66
008523018,60
008525006,33
008525009,35
008525020,34
008525021,27
008505051,66
208128006,11
008537066,46
002442063,42
002442061,41
002442069,41
002442080,27
009255005,26
009255038,33
008112016,78
008112017,74
008112018,72
008112019,67
008112020,57
008112021,59
008112022,62
008112023,62
008532003,45
008501038,35
008501032,42
008502041,47
008524019,29
008523021,45
008501040,36
008501041,37
008501042,35
008406043,27
008426001,46
008415053,60
008519085,42
008412008,35
008514018,39
008543038,27
008543029,20
008417056,51
008505005,68
008420006,23
008537002,70
008537001,79
008535021,67
008543043,26
008535015,54
008411016,57
008501022,39
008417058,45
008417031,49
008112024,69
008112025,70
008112026,75
008401020,38
008507022,64
008513006,29
008513041,40
008515067,39
008412049,59
008519034,39
008407038,31
008513013,30
008415041,38
008412057,29
008543039,23
008201014,98
008201015,89
008201030,81
008201031,76
008201032,83
008201033,86
008202001,58
008202002,59
008202003,62
008202004,61
008519024,35
008406009,44
008406006,43
008406045,27
008418006,26
008406041,50
008406001,52
008201016,85
008201017,90
008201018,95
008201019,94
008201020,85
008201021,88
008201022,84
008201023,85
008406008,29
008417005,31
008504013,44
008504027,22
008406023,29
008409001,42
008406039,29
008406022,33
008406014,39
008401009,40
008401002,37
008407044,32
008504018,31
008527025,28
008535095,62
008535058,66
008520071,64
008504021,26
008516013,43
008516002,46
008507029,58
008507033,66
008507034,58
008501023,45
008501052,46
008201024,89
008201025,85
008201026,88
008201027,78
008201028,76
008201029,80
008521015,83
008539005,12
008539010,11
008539006,11
008407043,22
008535077,72
008521038,72
008535020,72
008526038,43
008415042,59
008505050,88
008416050,56
008201008,92
008201009,85
008201010,92
008201011,92
008201012,91
008201013,95
008505036,69
008505028,64
008520003,68
008407029,47
008407041,30
008410006,39
008505045,78
008415057,49
008406003,50
001313040,66
001310038,55
006517062,55
008406040,46
008408001,48
208203051,51
008415020,53
008408022,15
008410005,41
008211035,33
008211036,34
008212001,85
008212002,93
008212003,96
008212004,87
008220069,43
008220071,52
008220072,44
008220073,47
008220075,44
008220076,45
008220077,46
008220078,47
008206009,64
008206010,41
008206011,46
008206012,57
208125058,26
208125059,27
008305030,28
008305031,15
008306001,63
008306004,74
008306005,65
008306006,71
008213019,93
008213020,88
008213021,97
008213022,83
008213023,83
001320005,53
008213025,90
005508009,54
003210023,65
008303035,38
008303036,22
008303037,24
008304001,31
008304002,35
008315020,51
008315021,48
008315022,53
008315023,48
008315024,50
008315025,46
008315028,50
008315029,53
008315030,52
008315031,52
008315032,58
008315033,61
008315034,62
008315035,63
008315036,53
008315037,57
008308008,43
008308009,41
008308010,40
008308011,40
008308012,48
003208054,51
003208055,47
003208056,41
